composition,ΔH,ΔS,C14,C15,wt,ln_p
Ti0.33333333 Mn0.28333333 V0.01666667 Cr0.33333333 Fe0.03333333,14.7,93.7,100.0,0.0,,-11.199422660572528
Ti0.33333333 Mn0.23333333 V0.03333333 Cr0.33333333 Fe0.06666667,17.7,101.0,100.0,0.0,,-12.063026220832331
Ti0.33333333 Mn0.18333333 V0.05 Cr0.33333333 Fe0.1,18.6,99.9,100.0,0.0,,-11.926389222997356
Ti0.33333333 Mn0.13333333 V0.06666667 Cr0.33333333 Fe0.13333333,20.2,103.0,100.0,0.0,,-12.291556410873227
Zr0.01346801 Ti0.31986532 Mn0.33333333 Cr0.33333333,15.1,93.0,100.0,0.0,,-11.113302862641328
Zr0.01666667 Ti0.31666667 Mn0.2962963 Cr0.37037037,16.5,93.1,100.0,0.0,,-11.118595140726486
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.33333333,20.4,102.4,100.0,0.0,,-12.21842675006014
Zr0.05 Ti0.28333333 Mn0.2962963 Cr0.37037037,21.5,101.0,100.0,0.0,,-12.044743805629059
Ti0.33333333 Mn0.33333333 Cr0.33333333,28.76,114.7,100.0,0.0,1.61,-13.657637719509262
Zr0.03333333 Ti0.3 Mn0.33333333 Cr0.33333333,31.7,112.6,100.0,0.0,1.68,-13.390906904017319
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.33333333,32.6,112.1,100.0,0.0,1.81,-13.326437334616308
Zr0.06666667 Ti0.26666667 Mn0.33333333 Cr0.33333333,33.8,111.8,100.0,0.0,1.9,-13.284580226124609
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 Mo0.01666667,32.5,115.2,100.0,0.0,1.88,-13.699783497714698
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 Mo0.03333333,30.8,106.4,100.0,0.0,1.78,-12.649506855905702
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.28333333 Mo0.05,28.3,100.9,100.0,0.0,1.67,-12.000000000000002
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.32666667 W0.00666667,28.91,113.8,100.0,0.0,1.52,-13.548664902573972
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 W0.01666667,31.25,109.2,100.0,0.0,1.43,-12.984123165744528
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 W0.03333333,26.2,106.2,100.0,0.0,1.36,-12.647582391147463
Zr0.25225225 Ti0.08108108 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,35.5,110.0,35.0,54.0,1.62,-13.059898965600192
Zr0.24324324 Ti0.09009009 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,31.5,104.0,38.0,52.0,1.61,-12.357469328842916
Zr0.23423423 Ti0.0990991 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,32.1,103.0,39.0,50.0,1.51,-12.234303584315613
Zr0.22522523 Ti0.10810811 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,33.9,110.0,49.0,40.0,1.51,-13.067596824633148
Zr0.21621622 Ti0.11711712 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,32.7,107.0,56.0,33.0,1.58,-12.712533076738032
Zr0.24561404 Ti0.0877193 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,36.7,102.0,52.0,29.0,1.56,-12.091893192205918
Zr0.24074074 Ti0.09259259 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,30.8,102.0,34.0,60.0,1.63,-12.120279047389944
Zr0.23809524 Ti0.0952381 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,27.3,102.0,20.0,74.0,1.41,-12.137118114024537
Zr0.23529412 Ti0.09803922 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,24.8,108.0,9.2,85.0,1.12,-12.8708203031032
Zr0.33333333 Al0.03333333 Fe0.63333333,41.1,110.0,0.0,100.0,1.3,-13.032956458984843
Zr0.33333333 Al0.05 Fe0.61666667,40.0,110.0,0.0,100.0,1.26,-13.03824873707
Zr0.33333333 Al0.06666667 Fe0.6,38.9,110.0,0.0,100.0,1.15,-13.043541015155158
Zr0.33333333 Al0.08333333 Fe0.58333333,37.7,110.0,0.0,100.0,1.01,-13.049314409429876
Zr0.33333333 Al0.1 Fe0.56666667,36.6,110.0,0.0,100.0,0.9,-13.054606687515035
Zr0.33333333 V0.03333333 Fe0.63333333,35.4,110.0,0.0,100.0,1.34,-13.060380081789752
Zr0.33333333 V0.06666667 Fe0.6,34.2,110.0,0.0,0.0,1.55,-13.06615347606447
Zr0.33333333 V0.1 Fe0.56666667,33.0,110.0,100.0,0.0,1.71,-13.071926870339187
Zr0.33333333 V0.16666667 Fe0.5,31.6,110.0,100.0,0.0,1.82,-13.078662496993022
Zr0.3 Ti0.03333333 V0.1 Fe0.56666667,30.2,110.0,100.0,0.0,1.69,-13.08539812364686
Zr0.23333333 Ti0.1 V0.1 Fe0.56666667,29.0,110.0,100.0,0.0,1.53,-13.091171517921577
Zr0.16666667 Ti0.16666667 V0.1 Fe0.56666667,27.7,110.0,100.0,0.0,1.39,-13.097426028385854
Zr0.23333333 Ti0.1 V0.06666667 Fe0.6,27.0,110.0,100.0,0.0,1.51,-13.100793841712774
Zr0.23333333 Ti0.1 V0.16666667 Fe0.5,26.5,110.0,100.0,0.0,1.65,-13.103199422660571
Zr0.16166667 Ti0.17166667 Mn0.4 Cr0.26666667,33.0,103.0,0.0,0.0,1.69,-12.229973538609576
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Fe0.03174603,30.0,99.0,0.0,0.0,1.58,-11.763290834736589
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Co0.03174603,29.0,97.0,0.0,0.0,1.57,-11.527543901852297
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Ni0.03174603,31.0,105.0,0.0,0.0,1.63,-12.48015395718066
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,33.7,105.0,100.0,0.0,,-12.467163820062545
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Ni0.32280702 Sn0.00300752 Mo0.01002506,35.4,111.0,100.0,0.0,,-13.180659129179698
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Ni0.32280702 Sn0.00300752 Mo0.02005013,36.4,114.0,100.0,0.0,,-13.536685109453932
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Ni0.32280702 Sn0.00300752 Mo0.03007519,36.7,111.0,100.0,0.0,,-13.174404618715421
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Ni0.32280702 Sn0.00300752 Mo0.04010025,37.8,111.0,100.0,0.0,,-13.169112340630264
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Ni0.32280702 Sn0.00300752 Mo0.05012531,38.7,112.0,100.0,0.0,,-13.285061342314169
Ti0.33333333 Mn0.1 Cr0.36666667 Fe0.2,16.47,103.75,100.0,0.0,1.621,-12.399711330286264
La0.00985222 Ti0.33333333 Mn0.09852217 Cr0.36124795 Fe0.19704434,16.63,104.17,100.0,0.0,1.715,-12.449458744286746
Ce0.00985222 Ti0.33333333 Mn0.09852217 Cr0.36124795 Fe0.19704434,19.27,112.11,100.0,0.0,1.629,-13.391772913158528
Ti0.33614837 Mn0.10084451 Cr0.36429872 Fe0.1987084,19.39,111.29,100.0,0.0,1.663,-13.2925667548713
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32820513,33.9,110.0,52.0,47.1,1.68,-13.067596824633148
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32307692 B0.00512821,35.7,110.0,44.2,54.1,1.63,-13.058936733221072
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.31794872 B0.01025641,34.7,107.0,41.3,55.0,1.62,-12.702910752946837
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.30769231 B0.02051282,32.9,98.0,44.3,52.6,1.6,-11.62905941784941
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Fe0.00512821 Co0.05128205 Ni0.32307692,36.0,111.0,36.5,60.3,1.74,-13.177772432042339
Gd0.00512821 Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32307692,38.4,116.0,41.6,54.9,1.74,-13.767620880442626
Mg0.02051282 Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.30769231,38.4,116.0,49.3,48.1,1.75,-13.767620880442626
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.30769231 C0.02051282,31.3,111.0,38.7,56.4,1.58,-13.200384892951648
Zr0.2183908 Ti0.11494253 Mn0.08282209 Al0.00408998 V0.10224949 Cr0.07668712 Co0.07157464 Ni0.32924335,41.6,125.0,85.4,11.2,1.49,-14.834736588886216
La0.01007049 Zr0.21499014 Ti0.1183432 Mn0.081571 Al0.0040282 V0.10070493 Cr0.0755287 Co0.07049345 Ni0.32426989,41.4,125.0,75.6,21.5,1.58,-14.835698821265336
La0.01984127 Zr0.21138211 Ti0.12195122 Mn0.08035714 Al0.00396825 V0.09920635 Cr0.07440476 Co0.06944444 Ni0.31944444,40.6,121.0,80.8,15.5,1.66,-14.358431561222035
La0.02932551 Zr0.20754717 Ti0.12578616 Mn0.07917889 Al0.00391007 V0.09775171 Cr0.07331378 Co0.0684262 Ni0.31476051,40.0,123.0,80.7,15.8,1.53,-14.601876353139282
La0.03853565 Zr0.2034632 Ti0.12987013 Mn0.07803468 Al0.00385356 V0.09633911 Cr0.07225434 Co0.06743738 Ni0.31021195,36.6,116.0,82.8,14.3,1.53,-13.776280971854703
La0.04748338 Zr0.19910515 Ti0.13422819 Mn0.07692308 Al0.00379867 V0.09496676 Cr0.07122507 Co0.06647673 Ni0.30579297,35.8,117.0,88.7,8.4,1.42,-13.900408948761125
Zr0.33333333 Fe0.16666667 Co0.5,9.5,33.0,0.0,100.0,,-3.923502525859995
Zr0.33333333 V0.63333333 Fe0.03333333,110.24,167.11,0.0,0.0,,-19.569449121962954
Zr0.33333333 V0.6 Fe0.06666667,105.59,164.12,0.0,0.0,,-19.23218667308155
Zr0.33333333 V0.56666667 Fe0.1,69.01,124.5,0.0,0.0,,-14.642723117632908
Zr0.33333333 Mn0.33333333 Fe0.23333333 Co0.1,9.8,37.4,0.0,0.0,,-4.451286985807072
Zr0.33333333 Mn0.33333333 Fe0.23333333 Co0.1,8.8,36.2,0.0,0.0,,-4.311763290834737
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07,110.0,0.0,0.0,,-13.076401250902093
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07,110.0,0.0,0.0,,-13.076401250902093
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07,110.0,0.0,0.0,,-13.076401250902093
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07,110.0,0.0,0.0,,-13.076401250902093
Zr0.33333333 Fe0.66666667,26.0,110.0,0.0,100.0,1.8,-13.105605003608371
Zr0.33333333 Fe0.66666667,24.2,110.0,0.0,100.0,1.74,-13.114265095020446
Zr0.33333333 Fe0.66666667,22.7,110.0,0.0,100.0,1.63,-13.121481837863843
Zr0.16666667 Ti0.16666667 Mn0.22222222 V0.22222222 Fe0.22222222,46.5,110.0,100.0,0.0,1.88,-13.006976184748616
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.19047619 Cr0.0952381 Fe0.19047619,39.72,110.0,100.0,0.0,1.71,-13.03959586240077
Zr0.16666667 Ti0.16666667 Mn0.17777778 V0.17777778 Cr0.13333333 Fe0.17777778,36.21,110.0,100.0,0.0,1.6,-13.056483040654317
Zr0.16666667 Ti0.16666667 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,31.83,110.0,100.0,0.0,1.5,-13.077555929757036
Zr0.16666667 Ti0.16666667 Mn0.15686275 V0.15686275 Cr0.19607843 Fe0.15686275,31.56,110.0,100.0,0.0,1.47,-13.078854943468848
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.14814815 Cr0.22222222 Fe0.14814815,30.78,110.0,100.0,0.0,1.47,-13.082607649747413
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.13333333 Cr0.26666667 Fe0.13333333,25.95,110.0,100.0,0.0,1.23,-13.10584556170315
Zr0.16666667 Ti0.16666667 Mn0.22222222 V0.22222222 Cr0.22222222,51.21,110.0,100.0,0.0,1.92,-12.98431561222035
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.19047619 Cr0.19047619 Fe0.0952381,54.28,110.0,100.0,0.0,1.93,-12.969545345200865
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.14814815 Cr0.14814815 Fe0.22222222,28.98,110.0,100.0,0.0,1.72,-13.09126774115949
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.13333333 Cr0.13333333 Fe0.26666667,21.88,110.0,100.0,0.0,1.43,-13.125426990618234
Zr0.16666667 Ti0.16666667 V0.22222222 Cr0.22222222 Fe0.22222222,42.44,110.0,100.0,0.0,1.18,-13.026509502044743
Zr0.16666667 Ti0.16666667 Mn0.0952381 V0.19047619 Cr0.19047619 Fe0.19047619,39.09,110.0,100.0,0.0,1.78,-13.042626894394996
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.17777778 Cr0.17777778 Fe0.17777778,36.12,110.0,100.0,0.0,1.71,-13.056916045224922
Zr0.16666667 Ti0.16666667 Mn0.19607843 V0.15686275 Cr0.15686275 Fe0.15686275,31.81,110.0,100.0,0.0,1.61,-13.077652152994947
Zr0.16666667 Ti0.16666667 Mn0.22222222 V0.14814815 Cr0.14814815 Fe0.14814815,27.01,110.0,100.0,0.0,1.5,-13.100745730093816
Zr0.16666667 Ti0.16666667 Mn0.26666667 V0.13333333 Cr0.13333333 Fe0.13333333,24.71,110.0,100.0,0.0,1.47,-13.111811402453691
Zr0.33333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,21.49,110.0,100.0,0.0,1.27,-13.127303343757516
Zr0.22222222 Ti0.11111111 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,25.63,110.0,100.0,0.0,1.2,-13.10738513350974
Zr0.13333333 Ti0.2 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,37.76,110.0,100.0,0.0,1.19,-13.049025739716141
Zr0.11111111 Ti0.22222222 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,44.03,110.0,100.0,0.0,1.25,-13.018859754630743
Zr0.16666667 Ti0.16666667 Mn0.22222222 Cr0.22222222 Fe0.22222222,42.46,110.0,100.0,0.0,1.72,-13.026413278806832
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.0952381 Cr0.19047619 Fe0.19047619,41.02,110.0,100.0,0.0,1.7,-13.033341351936492
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.22222222 Cr0.14814815 Fe0.14814815,35.08,110.0,100.0,0.0,1.85,-13.061919653596343
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.26666667 Cr0.13333333 Fe0.13333333,36.59,110.0,100.0,0.0,1.54,-13.05465479913399
Ti0.33333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,36.59,110.0,100.0,0.0,1.74,-13.05465479913399
Zr0.11111111 Ti0.22222222 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,14.81,110.0,100.0,0.0,1.72,-13.15944190522011
Zr0.2 Ti0.13333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,46.17,110.0,100.0,0.0,1.68,-13.008563868174162
Zr0.22222222 Ti0.11111111 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,52.48,110.0,100.0,0.0,1.85,-12.97820543661294
Zr0.1 Ti0.23333333 Mn0.6 V0.06666667,13.0,72.5,100.0,0.0,,-8.657685831128218
Zr0.1 Ti0.23333333 Mn0.53333333 V0.13333333,14.0,67.5,100.0,0.0,1.8,-8.051479432282896
Zr0.1 Ti0.23333333 Mn0.46666667 V0.2,16.0,67.0,100.0,0.0,1.8,-7.981717584796729
Zr0.1 Ti0.23333333 Mn0.4 V0.26666667,20.0,70.0,100.0,0.0,,-8.323310079384171
Zr0.1 Ti0.23333333 Mn0.33333333 V0.33333333,20.5,67.0,100.0,0.0,,-7.9600673562665385
Ti0.33333333 Cr0.66666667,26.5,122.0,100.0,0.0,2.0,-14.546547991339908
Ti0.33333333 Cr0.66666667,21.3,116.0,100.0,0.0,2.0,-13.849891748857349
Ti0.33333333 Al0.01851852 Cr0.64814815,24.0,116.0,100.0,0.0,1.9,-13.836901611739234
Ti0.33333333 Al0.07407407 Cr0.59259259,33.4,90.8,100.0,0.0,2.1,-10.76064469569401
Ti0.33333333 Al0.07017544 Cr0.59649123,28.1,128.5,100.0,0.0,2.2,-15.320663940341591
Ti0.33333333 Al0.01666667 Cr0.65,22.8,112.0,100.0,0.0,2.1,-13.361558816454174
Ti0.33333333 Mn0.07407407 Cr0.59259259,28.0,129.0,100.0,0.0,1.9,-15.381284580226124
Ti0.33333333 Mn0.33333333 Cr0.33333333,22.8,114.9,100.0,0.0,2.0,-13.710368053885015
Ti0.33333333 Cr0.64864865 B0.01801802,15.6,94.8,16.0,82.0,2.1,-11.327399566995428
Ti0.33333333 Cr0.64864865 Si0.01801802,21.4,101.0,100.0,0.0,1.8,-12.045224921818619
Ti0.33333333 Cr0.63063063 Ni0.03603604,20.5,107.0,18.0,75.0,2.1,-12.771229251864325
Ti0.33333333 Cr0.56666667 Ni0.1,21.7,106.7,89.0,0.0,1.9,-12.729372143372624
Ti0.33333333 Cr0.62091503 Mo0.04575163,17.2,117.0,0.0,86.0,1.9,-13.989896560019243
Ti0.33333333 Cr0.66317627 Mo0.0034904,24.8,113.0,100.0,0.0,1.9,-13.472215540052924
Ti0.35483871 Mn0.32258065 Cr0.32258065,14.7,92.2,0.0,0.0,0.57,-11.019004089487611
Zr0.01666667 Ti0.31666667 Mn0.33333333 Cr0.33333333,16.3,89.8,0.0,0.0,1.76,-10.722636516718788
Zr0.02 Ti0.31333333 Mn0.33333333 Cr0.33333333,17.3,91.8,0.0,0.0,1.54,-10.958383449603078
Zr0.03333333 Ti0.3 Mn0.33333333 Cr0.33333333,16.9,89.8,0.0,0.0,0.89,-10.719749819581429
Ti0.33333333 Mn0.06666667 Cr0.53333333 Fe0.06666667,19.66,110.0,100.0,0.0,,-13.136107770026461
Ti0.33333333 Mn0.06734007 Cr0.53198653 Fe0.06734007,19.9,110.0,100.0,0.0,,-13.134953091171518
Ti0.33333333 Mn0.06837607 Cr0.52991453 Fe0.06837607,20.32,110.0,100.0,0.0,,-13.132932403175365
Ti0.33333333 Mn0.07017544 Cr0.52631579 Fe0.07017544,20.78,110.0,100.0,0.0,,-13.130719268703391
Ti0.33333333 Mn0.06837607 Cr0.51282051 Fe0.08547009,19.32,110.0,100.0,0.0,,-13.137743565070965
Ti0.33333333 Mn0.06666667 Cr0.5 Fe0.1,18.32,110.0,100.0,0.0,,-13.142554726966562
Zr0.03030303 Ti0.3030303 Mn0.51851852 Cr0.12962963 Fe0.01851852,25.89,110.0,100.0,0.0,,-13.106134231416886
Zr0.18333333 Ti0.15 Mn0.03896104 V0.19480519 Ni0.43290043,41.7,109.0,100.0,0.0,1.8,-12.909790714457541
Zr0.18333333 Ti0.15 Mn0.07723577 V0.18292683 Ni0.40650407,39.0,105.0,100.0,0.0,1.8,-12.441664662015878
Zr0.18333333 Ti0.15 Mn0.10789981 V0.1734104 Ni0.38535645,36.9,104.0,100.0,0.0,1.78,-12.331489054606688
Zr0.18333333 Ti0.15 Mn0.10021787 V0.19607843 Ni0.37037037,47.6,133.0,100.0,0.0,1.98,-15.768101996632186
Zr0.18333333 Ti0.15 Mn0.13496933 V0.18404908 Ni0.34764826,44.2,125.0,100.0,0.0,1.71,-14.822227567957661
Zr0.18333333 Ti0.15 Mn0.19307832 V0.16393443 Ni0.30965392,36.0,113.3,100.0,0.0,1.82,-13.45441424103921
Zr0.18333333 Ti0.15 Mn0.23333333 V0.15 Ni0.28333333,32.8,112.0,100.0,0.0,2.04,-13.313447197498196
Zr0.18333333 Ti0.15 Mn0.21031746 V0.17857143 Ni0.27777778,54.0,153.0,100.0,0.0,1.69,-18.142891508299257
Zr0.18333333 Ti0.15 Mn0.25448029 V0.16129032 Ni0.25089606,35.6,108.0,100.0,0.0,1.86,-12.818859754630743
Zr0.18333333 Ti0.15 Mn0.29268293 V0.14634146 Ni0.22764228,32.3,108.0,96.0,0.0,2.01,-12.834736588886216
Zr0.18333333 Ti0.15 Mn0.35752688 V0.12096774 Ni0.18817204,28.3,107.9,94.0,0.0,1.6,-12.841953331729615
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,23.0,93.0,100.0,0.0,1.8,-11.075294683666105
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,26.0,98.0,100.0,0.0,2.05,-11.662256434929036
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,25.0,92.0,100.0,0.0,2.1,-10.945393312484965
Zr0.01555556 Ti0.31777778 Mn0.33333333 Cr0.26666667 Fe0.06666667,28.0,100.0,100.0,0.0,2.2,-11.893192205917728
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Ni0.38195489 Sn0.00300752,34.0,109.6,100.0,0.0,1.42,-13.01900408948761
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.00501253 Ni0.37694236 Sn0.00300752,29.8,94.2,100.0,0.0,1.45,-11.186913639643974
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01002506 Ni0.37192982 Sn0.00300752,39.8,124.3,100.0,0.0,1.62,-14.75920134712533
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36691729 Sn0.00300752,33.2,103.4,100.0,0.0,1.6,-12.277122925186434
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02005013 Ni0.36190476 Sn0.00300752,35.9,113.8,100.0,0.0,1.53,-13.515034880923743
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02506266 Ni0.35689223 Sn0.00300752,24.3,79.0,100.0,0.0,1.44,-9.385133509742602
Ti0.33333333 Cr0.66666667,21.37,110.0,0.0,100.0,,-13.127880683184989
Ti0.33333333 Cr0.66666667,19.601,110.0,100.0,0.0,,-13.1363916285783
Ti0.33333333 Mn0.16666667 Cr0.5,21.1,110.0,100.0,0.0,,-13.1291796968968
Ti0.33333333 Mn0.25 Cr0.41666667,27.89,110.0,100.0,0.0,,-13.096511907625692
Ti0.33333333 Mn0.33333333 Cr0.33333333,28.556,110.0,100.0,0.0,,-13.093307673803222
Zr0.03333333 Ti0.3 Mn0.54285714 V0.12380952,30.0,110.0,0.0,0.0,1.98,-13.08636035602598
Zr0.03703704 Ti0.2962963 Mn0.61458333 V0.05208333,29.0,110.0,0.0,0.0,1.76,-13.091171517921577
Zr0.03809524 Ti0.2952381 Mn0.56410256 V0.1025641,31.0,110.0,0.0,0.0,1.9,-13.081549194130382
Zr0.03225806 Ti0.30107527 Mn0.64052288 V0.02614379,32.0,110.0,0.0,0.0,1.8,-13.076738032234784
Zr0.03703704 Ti0.2962963 Mn0.52083333 V0.14583333,33.0,110.0,0.0,0.0,1.93,-13.071926870339187
Zr0.03333333 Ti0.3 Mn0.61111111 V0.05555556,34.0,110.0,0.0,0.0,1.93,-13.067115708443588
Zr0.04273504 Ti0.29059829 Mn0.54644809 V0.12021858,35.0,110.0,0.0,0.0,1.85,-13.06230454654799
Zr0.03703704 Ti0.2962963 Mn0.47916667 V0.1875,37.0,110.0,0.0,0.0,2.04,-13.052682222756795
Zr0.03333333 Ti0.3 Mn0.55555556 V0.11111111,38.0,110.0,0.0,0.0,1.97,-13.047871060861198
Zr0.04347826 Ti0.28985507 Mn0.60493827 V0.06172839,39.0,110.0,0.0,0.0,1.97,-13.0430598989656
Zr0.03333333 Ti0.3 Mn0.61904762 V0.04761905,38.0,110.0,0.0,0.0,0.5,-13.047871060861198
Zr0.03809524 Ti0.2952381 Mn0.61538462 V0.05128205,35.0,110.0,0.0,0.0,0.5,-13.06230454654799
Zr0.00640378 Ti0.32692956 Mn0.47460845 Al0.00822655 V0.13890207 Cr0.01423825 Fe0.03069135,21.7,99.8,100.0,0.0,1.71,-11.899446716382005
Zr0.00666667 Ti0.32666667 Mn0.48309179 V0.13848631 Cr0.01610306 Fe0.02898551,20.0,110.0,100.0,0.0,,-13.134471974981958
Zr0.00666667 Ti0.32666667 Mn0.48666667 V0.13666667 Cr0.01666667 Fe0.02666667,18.0,110.0,100.0,0.0,,-13.144094298773153
