composition,ΔH,ΔS,C14,C15,wt,ln_p
Zr0.01666667 Ti0.31666667 Mn0.49333333 Al0.00333333 V0.14333333 Fe0.02666667,25.6,110.0,100.0,0.0,,-13.107529468366609
Zr0.015 Ti0.31833333 Mn0.48253968 Al0.00952381 V0.13650794 Fe0.03809524,20.0,110.0,100.0,0.0,,-13.134471974981958
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,34.8,110.0,95.1,3.1,1.49,-13.06326677892711
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Cu0.01002506 Ni0.32280702 Sn0.00300752,29.8,94.0,89.3,8.1,1.39,-11.162857830165985
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Cu0.02005013 Ni0.32280702 Sn0.00300752,31.4,97.0,90.8,6.1,1.3,-11.515997113302863
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Cu0.03007519 Ni0.32280702 Sn0.00300752,31.7,95.0,94.8,0.0,1.2,-11.273995669954292
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Cu0.04010025 Ni0.32280702 Sn0.00300752,32.1,96.0,91.7,1.1,1.14,-11.392350252586
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Cu0.05012531 Ni0.32280702 Sn0.00300752,31.5,93.0,91.5,,1.11,-11.034399807553523
Zr0.20915033 Ti0.12418301 Mn0.05590062 Al0.00414079 V0.10041408 Cr0.08488613 Co0.01552795 Ni0.40269151 Sn0.00310559,29.0,77.0,74.0,11.1,1.3,-9.121962954053403
Zr0.20905588 Ti0.12427746 Mn0.05606524 Al0.00407747 V0.09989806 Cr0.08562691 Co0.01529052 Ni0.40265036 Sn0.0030581,28.0,81.0,74.8,17.0,1.44,-9.60789030550878
Zr0.20895522 Ti0.12437811 Mn0.05614035 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.40300752 Sn0.00300752,24.0,77.0,70.7,25.7,1.4,-9.146018763531393
Zr0.20910973 Ti0.1242236 Mn0.05523256 Al0.00387597 V0.09883721 Cr0.09399225 Co0.01453488 Ni0.39728682 Sn0.00290698,23.0,76.0,62.3,36.7,1.31,-9.030550878037046
Zr0.20873269 Ti0.12460064 Mn0.05620155 Al0.00387597 V0.0998062 Cr0.08527132 Co0.01550388 Ni0.40310078 Sn0.00290698,21.0,71.0,60.0,40.0,1.11,-8.438777964878518
Zr0.20915033 Ti0.12418301 Mn0.05080352 Al0.00414723 V0.10057024 Cr0.05495075 Co0.04976672 Ni0.40331778 Sn0.00311042,26.0,77.0,74.9,17.7,1.28,-9.136396439740198
Zr0.20905588 Ti0.12427746 Mn0.05104645 Al0.00408372 V0.10005105 Cr0.05513017 Co0.05002552 Ni0.40326697 Sn0.00306279,24.0,75.0,64.2,31.7,1.3,-8.905460668751504
Zr0.20895522 Ti0.12437811 Mn0.05112782 Al0.00401002 V0.10025063 Cr0.05513784 Co0.05012531 Ni0.40300752 Sn0.00300752,22.0,75.0,51.7,44.8,1.14,-8.915082992542699
Zr0.20910973 Ti0.1242236 Mn0.05113078 Al0.00393314 V0.10029499 Cr0.05506391 Co0.05014749 Ni0.40314651 Sn0.00294985,20.0,72.0,42.5,55.7,1.06,-8.56386817416406
Zr0.20873269 Ti0.12460064 Mn0.05135659 Al0.00387597 V0.0998062 Cr0.05523256 Co0.0503876 Ni0.40310078 Sn0.00290698,12.0,54.0,35.3,64.3,0.77,-6.437334616309839
Zr0.20915033 Ti0.12418301 Mn0.04140787 Al0.00414079 V0.10041408 Cr0.03519669 Co0.07971015 Ni0.40269151 Sn0.00310559,28.0,87.0,66.5,26.3,1.15,-10.329564589848447
Zr0.20905588 Ti0.12427746 Mn0.04083716 Al0.00408372 V0.10005105 Cr0.03471159 Co0.08065339 Ni0.40326697 Sn0.00306279,27.0,90.0,47.2,48.6,1.29,-10.695212893913881
Zr0.20895522 Ti0.12437811 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,12.0,47.0,32.1,67.0,0.93,-5.595381284580226
Zr0.20910973 Ti0.1242236 Mn0.04123711 Al0.00392734 V0.10014728 Cr0.0353461 Co0.08051055 Ni0.40255277 Sn0.00294551,11.0,47.0,19.7,80.3,0.9,-5.600192446475823
Zr0.20873269 Ti0.12460064 Mn0.04075691 Al0.00388161 V0.09995148 Cr0.0349345 Co0.08054343 Ni0.40368753 Sn0.00291121,7.0,32.0,4.2,95.8,0.61,-3.815251383209045
Zr0.00906344 Ti0.32426989 Mn0.48126801 V0.14024976 Cr0.01633045 Fe0.02881844,28.7,110.0,0.0,0.0,1.5,-13.092614866490257
Zr0.00898204 Ti0.3243513 Mn0.48484849 V0.13660414 Cr0.01539202 Fe0.02982203,28.7,110.0,0.0,0.0,1.4,-13.092614866490257
Zr0.00815494 Ti0.32517839 Mn0.4789272 V0.1408046 Cr0.01628353 Fe0.03065134,28.7,110.0,0.0,0.0,1.5,-13.092614866490257
Zr0.00788955 Ti0.32544379 Mn0.48164044 V0.13924654 Cr0.01621364 Fe0.02956605,28.7,110.0,0.0,0.0,1.4,-13.092614866490257
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,33.7,105.0,100.0,0.0,1.49,-12.467163820062545
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.01002506 Co0.07017544 Ni0.32280702 Sn0.00300752,39.2,123.0,100.0,0.0,1.51,-14.605725282655762
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.02005013 Co0.06015038 Ni0.32280702 Sn0.00300752,28.4,122.0,100.0,0.0,1.49,-14.537406783738273
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.03007519 Co0.05012531 Ni0.32280702 Sn0.00300752,37.4,117.0,100.0,0.0,1.51,-13.892711089728168
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.04010025 Co0.04010025 Ni0.32280702 Sn0.00300752,38.5,119.0,100.0,0.0,1.53,-14.127976906422901
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.05012531 Co0.03007519 Ni0.32280702 Sn0.00300752,39.3,124.0,100.0,0.0,1.53,-14.725523213856146
Ti0.33333333 Mn0.45045045 Nb0.02252252 V0.19369369,25.71,109.73,100.0,0.0,1.26,-13.07452489776281
Ti0.33333333 Mn0.45045045 Nb0.04054054 V0.17567568,23.68,104.48,100.0,0.0,1.55,-12.452826557613664
Zr0.20895522 Ti0.12437811 Mn0.02606516 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.44010025,24.9,81.0,34.0,49.0,1.0,-9.622804907385134
Zr0.20895522 Ti0.12437811 Mn0.05614035 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.41002506,31.4,98.0,65.0,23.0,1.31,-11.636276160692807
Zr0.20895522 Ti0.12437811 Mn0.08621554 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.37994987,33.8,106.0,85.0,8.0,1.41,-12.58696175126293
Zr0.20895522 Ti0.12437811 Mn0.11629073 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.34987469,38.6,111.0,90.0,4.0,1.58,-13.165263411113784
Zr0.20895522 Ti0.12437811 Mn0.14636591 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.3197995,39.3,116.0,89.0,4.0,1.57,-13.763290834736589
Zr0.20895522 Ti0.12437811 Mn0.1764411 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.28972431,40.0,115.0,97.0,0.0,1.58,-13.639643974019725
Zr0.20895522 Ti0.12437811 Mn0.20651629 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.25964912,40.3,113.0,97.0,0.0,1.57,-13.397642530671158
Zr0.20895522 Ti0.12437811 Mn0.23659148 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.22957393,42.3,117.0,98.0,0.0,1.58,-13.869136396439739
Zr0.33333333 V0.22222222 Cr0.44444444,25.0,112.3,100.0,0.0,1.18,-13.387057974500841
Zr0.33333333 V0.50980392 Cr0.15686274,25.29,110.11,100.0,0.0,1.14,-13.12225162376714
Zr0.33333333 V0.2 Cr0.46666667,21.17,102.63,100.0,0.0,1.26,-12.242386336300216
Zr0.33333333 V0.26666667 Cr0.4,26.61,109.68,100.0,0.0,1.46,-13.064180899687276
Zr0.33333333 V0.66666667,21.74,102.44,100.0,0.0,1.24,-12.216790955015636
Zr0.33333333 V0.66666667,18.46,78.1,100.0,0.0,1.28,-9.304979552561944
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,40.63,110.0,96.7,3.1,1.49,-13.035217705075775
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.01002506 Ni0.31278195 Sn0.00300752,40.37,110.0,93.9,3.4,1.45,-13.036468607168631
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.02005013 Ni0.30275689 Sn0.00300752,40.34,110.0,91.7,4.6,1.42,-13.036612942025497
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.03007519 Ni0.29273183 Sn0.00300752,40.21,110.0,92.3,4.6,1.31,-13.037238393071926
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.04010025 Ni0.28270677 Sn0.00300752,39.99,110.0,92.0,5.0,1.27,-13.038296848688958
Zr0.28571429 Ti0.04761905 Mn0.19487179 V0.09230769 Co0.05128205 Ni0.32820513,37.56,110.0,0.0,0.0,,-13.049987972095261
Zr0.24324324 Ti0.09009009 Mn0.15873016 V0.08465608 Co0.05291005 Ni0.37037037,37.39,110.0,0.0,0.0,,-13.050805869617513
Zr0.25925926 Ti0.07407407 Mn0.16666667 V0.08333333 Co0.11458333 Ni0.30208333,36.86,110.0,,,,-13.053355785422179
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,38.1,110.0,93.7,5.2,,-13.047389944671638
Mg0.00993542 Zr0.21783181 Ti0.11550152 Mn0.0804769 Al0.00397417 V0.0993542 Cr0.07451565 Co0.07948336 Ni0.31594635 Sn0.00298063,37.51,110.0,81.8,15.9,,-13.05022853019004
Mg0.01969473 Zr0.22187822 Ti0.11145511 Mn0.07976366 Al0.00393895 V0.09847366 Cr0.07385524 Co0.07877893 Ni0.30920729 Sn0.00295421,40.68,110.0,88.3,7.9,,-13.034977146980996
Mg0.02928258 Zr0.22607781 Ti0.10725552 Mn0.07906296 Al0.00390434 V0.09760859 Cr0.07320644 Co0.07808687 Ni0.30258663 Sn0.00292826,37.38,110.0,72.0,25.1,,-13.050853981236468
Mg0.03870344 Zr0.23043944 Ti0.10289389 Mn0.07837446 Al0.00387034 V0.09675859 Cr0.07256894 Co0.07740687 Ni0.29608128 Sn0.00290276,34.83,110.0,56.5,42.2,,-13.063122444070242
Mg0.04796163 Zr0.23497268 Ti0.09836066 Mn0.07769784 Al0.00383693 V0.09592326 Cr0.07194245 Co0.07673861 Ni0.28968825 Sn0.0028777,25.22,110.0,36.9,62.6,,-13.109357709886936
Zr0.1 Ti0.23333333 V0.2 Fe0.46666667,31.5,110.0,100.0,0.0,,-13.079143613182582
Zr0.16666667 Ti0.16666667 V0.13333333 Fe0.4 Ni0.13333333,33.09,110.0,100.0,0.0,,-13.071493865768582
Zr0.11666667 Ti0.21666667 V0.15 Fe0.51666667,26.62,110.0,100.0,0.0,,-13.1026220832331
Zr0.25 Ti0.08333333 V0.06666667 Fe0.33333333 Ni0.26666667,27.67,110.0,,100.0,,-13.097570363242722
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,39.13,110.0,98.6,,1.49,-13.042434447919172
Y0.01002506 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Ni0.32280702 Sn0.00300752,41.63,110.0,72.0,24.9,0.0,-13.030406543180177
Y0.02005013 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Ni0.32280702 Sn0.00300752,42.75,110.0,75.7,18.3,0.0,-13.025018041857107
Y0.03007519 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Ni0.32280702 Sn0.00300752,44.93,110.0,79.0,10.5,0.0,-13.014529708924705
Y0.04010025 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Ni0.32280702 Sn0.00300752,46.83,110.0,86.1,0.0,0.0,-13.005388501323068
Y0.05012531 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Ni0.32280702 Sn0.00300752,48.22,110.0,84.1,0.0,0.0,-12.998700986288188
Y0.00301659 Zr0.21364985 Ti0.11968348 Mn0.08245349 Al0.00402212 V0.10155857 Cr0.07642031 Co0.07038713 Ni0.32579186 Sn0.00301659,40.02,110.0,83.7,12.3,1.49,-13.03815251383209
Y0.0060698 Zr0.21372549 Ti0.11960784 Mn0.08295397 Al0.00404654 V0.10217501 Cr0.07688417 Co0.06170966 Ni0.32979262 Sn0.0030349,40.21,110.0,83.9,12.0,1.48,-13.037238393071926
Y0.01011634 Zr0.21379981 Ti0.11953353 Mn0.0839656 Al0.00404654 V0.10318665 Cr0.0778958 Co0.05159332 Ni0.33282752 Sn0.0030349,41.77,110.0,84.4,9.9,1.56,-13.029732980514794
Y0.01323155 Zr0.21414729 Ti0.11918605 Mn0.08447837 Al0.00407125 V0.10483461 Cr0.0783715 Co0.04173028 Ni0.33689567 Sn0.00305344,43.31,110.0,89.1,3.4,1.67,-13.022323791195573
Y0.01633486 Zr0.2142171 Ti0.11911623 Mn0.08575804 Al0.00408372 V0.10617662 Cr0.07963247 Co0.0316488 Ni0.33996937 Sn0.00306279,45.19,110.0,87.5,3.7,1.7,-13.013278806831849
Zr0.21393035 Ti0.11940298 Mn0.05614035 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.40300752 Sn0.00300752,38.1,110.0,71.0,25.0,1.4,-13.047389944671638
Zr0.21393035 Ti0.11940298 Mn0.05112782 Al0.00401002 V0.10025063 Cr0.05513784 Co0.05012531 Ni0.40300752 Sn0.00300752,34.61,110.0,53.0,45.0,1.14,-13.064180899687274
Zr0.21393035 Ti0.11940298 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,31.71,110.0,32.0,67.0,0.93,-13.078133269184507
Zr0.21393035 Ti0.11940299 Mn0.13533835 Al0.00501253 V0.10025063 Cr0.04511278 Ni0.37794486 Sn0.00300752,40.25,110.0,100.0,0.0,,-13.037045946596102
Zr0.21393035 Ti0.11940298 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,41.5,110.0,50.0,50.0,,-13.031031994226606
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,40.87,110.0,100.0,0.0,1.45,-13.034063026220831
La0.00291971 Zr0.26455026 Ti0.06878307 Mn0.21605839 V0.0379562 Fe0.03698297 Ni0.36982968 Sn0.00291971,35.07,110.0,,100.0,1.47,-13.061967765215298
La0.00291971 Zr0.26455026 Ti0.06878307 Mn0.21605839 V0.0379562 Fe0.03698297 Ni0.36982968 Sn0.00291971,34.22,110.0,,100.0,0.95,-13.066057252826557
Zr0.25333333 Ti0.08 Mn0.19753086 V0.04320988 Fe0.05555556 Ni0.37037037,33.68,110.0,0.0,0.0,,-13.06865528025018
La0.0030722 Zr0.25333333 Ti0.08 Mn0.19662058 V0.04301075 Fe0.05529954 Ni0.36866359,34.17,110.0,0.0,0.0,,-13.066297810921336
Zr0.18333333 Ti0.15 Mn0.08080808 V0.18181818 Cr0.05387205 Co0.05387205 Ni0.2962963,31.21,110.0,100.0,0.0,,-13.080538850132307
Zr0.3 Ti0.03333333 Mn0.3 Cr0.03333333 Fe0.16666667 Ni0.16666667,38.89,110.0,,,,-13.043589126774116
Zr0.16666667 Ti0.16666667 V0.13333333 Fe0.4 Ni0.13333333,32.73,110.0,0.0,0.0,1.0,-13.073225884050997
Zr0.25 Ti0.08333333 V0.06666667 Fe0.33333333 Ni0.26666667,27.16,110.0,0.0,0.0,1.0,-13.100024055809477
Zr0.03333333 Ti0.3 Mn0.47342995 V0.06441224 Cr0.12882448,28.59,110.0,100.0,0.0,,-13.093144094298772
Zr0.03333333 Ti0.3 Mn0.54471545 V0.12195122,38.48,110.0,100.0,0.0,,-13.04556170315131
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,38.1,110.0,65.0,22.0,1.45,-13.047389944671638
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.0962406 Cr0.07518797 Co0.0802005 Ni0.31679198 Sn0.00300752 B0.01002506,39.85,110.0,66.0,21.0,1.5,-13.038970411354342
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.09223058 Cr0.07518797 Co0.0802005 Ni0.31077694 Sn0.00300752 B0.02005013,40.02,110.0,68.0,16.0,1.46,-13.03815251383209
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.08822055 Cr0.07518797 Co0.0802005 Ni0.3047619 Sn0.00300752 B0.03007519,39.69,110.0,51.0,25.0,1.44,-13.039740197257636
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.08421053 Cr0.07518797 Co0.0802005 Ni0.29874687 Sn0.00300752 B0.04010025,40.41,110.0,53.0,15.0,1.46,-13.036276160692806
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.0802005 Cr0.07518797 Co0.0802005 Ni0.29273183 Sn0.00300752 B0.05012531,40.87,110.0,59.0,6.0,1.5,-13.034063026220831
Zr0.21393035 Ti0.11940298 Mn0.13634085 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.32280702 Sn0.00300752,40.91,110.0,0.0,0.0,,-13.033870579745008
Zr0.21393035 Ti0.11940298 Mn0.13634085 Al0.00401002 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36290727 Sn0.00300752,39.74,110.0,0.0,0.0,,-13.039499639162857
Zr0.19402985 Ti0.13930348 Mn0.13634085 Al0.00401002 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36290727 Sn0.00300752,38.97,110.0,0.0,0.0,,-13.043204233822467
Zr0.21393035 Ti0.11940298 Mn0.15639098 Al0.00401002 V0.10025063 Cr0.06516291 Co0.01503759 Ni0.32280702 Sn0.00300752,40.05,110.0,0.0,0.0,,-13.038008178975222
Zr0.21393035 Ti0.11940298 Mn0.05614035 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.40300752 Sn0.00300752,38.1,110.0,74.0,11.0,1.4,-13.047389944671638
Y0.00987654 Zr0.21025641 Ti0.12307692 Mn0.05530864 Al0.00395062 V0.09876543 Cr0.08395062 Co0.01481481 Ni0.39703704 Sn0.00296296,38.46,110.0,40.0,60.0,1.38,-13.045657926389222
Y0.01946472 Zr0.20634921 Ti0.12698413 Mn0.05450122 Al0.00389294 V0.0973236 Cr0.08272506 Co0.01459854 Ni0.39124088 Sn0.00291971,38.89,110.0,37.0,56.0,1.36,-13.043589126774116
Y0.02877698 Zr0.20218579 Ti0.13114754 Mn0.05371703 Al0.00383693 V0.09592326 Cr0.08153477 Co0.01438849 Ni0.38561151 Sn0.0028777,37.94,110.0,41.0,54.0,1.31,-13.048159730574932
Y0.03782506 Zr0.19774011 Ti0.13559322 Mn0.05295508 Al0.00378251 V0.09456265 Cr0.08037825 Co0.0141844 Ni0.38014184 Sn0.00283688,36.44,110.0,40.0,54.0,1.2,-13.05537647341833
Zr0.21393035 Ti0.11940298 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,26.19,110.0,32.0,67.0,0.93,-13.104690882848207
Y0.00987654 Zr0.21025641 Ti0.12307692 Mn0.04049383 Al0.00395062 V0.09876543 Cr0.0345679 Co0.07901235 Ni0.39703704 Sn0.00296296,26.5,110.0,13.0,84.0,0.96,-13.103199422660571
Y0.01946472 Zr0.20634921 Ti0.12698413 Mn0.03990268 Al0.00389294 V0.0973236 Cr0.03406326 Co0.07785888 Ni0.39124088 Sn0.00291971,26.69,110.0,17.0,83.0,0.98,-13.102285301900409
Y0.02877698 Zr0.20218579 Ti0.13114754 Mn0.03932854 Al0.00383693 V0.09592326 Cr0.03357314 Co0.07673861 Ni0.38561151 Sn0.0028777,34.22,110.0,11.0,89.0,1.1,-13.066057252826557
Y0.03782506 Zr0.19774011 Ti0.13559322 Mn0.03877069 Al0.00378251 V0.09456265 Cr0.03309693 Co0.07565012 Ni0.38014184 Sn0.00283688,33.98,110.0,18.0,79.0,1.08,-13.0672119316815
La0.00696864 Y0.16260163 Zr0.28333333 Ti0.05 Mn0.16260163 V0.02787456 Fe0.02787456 Ni0.27874564,31.0,110.0,5.5,94.5,1.54,-13.081549194130382
Y0.17283951 Zr0.33333333 Fe0.49382716,56.76,110.0,0.0,0.0,1.66,-12.957613663699783
Y0.17283951 Zr0.22222222 Ti0.11111111 Fe0.49382716,58.77,110.0,0.0,0.0,1.43,-12.947943228289631
Y0.17283951 Zr0.11111111 Ti0.22222222 Fe0.49382716,61.08,110.0,0.0,0.0,1.39,-12.936829444310801
Y0.17283951 Zr0.3 Ti0.03333333 Fe0.49382716,52.9,110.0,0.0,0.0,1.62,-12.97618474861679
Y0.17283951 Zr0.23333333 Ti0.1 Fe0.49382716,54.03,110.0,0.0,0.0,1.45,-12.970748135674764
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00802005 V0.10526316 Cr0.07518797 Co0.0802005 Ni0.31679198,38.28,110.0,0.0,0.0,1.45,-13.04652393553043
Zr0.21285141 Ti0.12048193 Mn0.08083832 Al0.00898204 V0.10578842 Cr0.0748503 Co0.07984032 Ni0.31636727,37.6,110.0,0.0,0.0,1.43,-13.049795525619436
Zr0.21463897 Ti0.11869436 Mn0.07843137 Al0.00904977 V0.10558069 Cr0.07541478 Co0.08044243 Ni0.31774761,38.1,110.0,0.0,0.0,1.5,-13.047389944671638
Zr0.21111111 Ti0.12222222 Mn0.08059702 Al0.01094527 V0.10447761 Cr0.07462687 Co0.07960199 Ni0.31641791,37.94,110.0,0.0,0.0,1.45,-13.048159730574932
Zr0.21212121 Ti0.12121212 Mn0.08083832 Al0.00998004 V0.10479042 Cr0.0748503 Co0.07984032 Ni0.31636727,37.79,110.0,0.0,0.0,1.42,-13.048881404859273
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00802005 V0.10526316 Cr0.07518797 Co0.0802005 Ni0.31679198,38.46,110.0,0.0,0.0,1.48,-13.045657926389222
La0.32073888 Zr0.21256039 Ti0.12077295 Mn0.04198153 Al0.00503778 V0.05541562 Cr0.03946264 Co0.04198153 Ni0.1620487,37.94,110.0,0.0,0.0,1.41,-13.048159730574932
La0.29846939 Zr0.21406728 Ti0.11926605 Mn0.04421769 Al0.00595238 V0.05782313 Cr0.04166667 Co0.04421769 Ni0.17431973,36.82,110.0,0.0,0.0,1.27,-13.053548231898002
La0.21447721 Zr0.21437909 Ti0.11895425 Mn0.05451296 Al0.00714924 V0.0714924 Cr0.05093834 Co0.05451296 Ni0.21358356,36.72,110.0,0.0,0.0,1.33,-13.054029348087562
La0.25896763 Zr0.2137834 Ti0.11954993 Mn0.04899388 Al0.00612423 V0.06474191 Cr0.0463692 Co0.04899388 Ni0.19247594,37.03,110.0,0.0,0.0,1.38,-13.052537887899927
La0.20911528 Zr0.2130719 Ti0.12026144 Mn0.05451296 Al0.00714924 V0.0714924 Cr0.05183199 Co0.05540661 Ni0.21715818,34.83,110.0,0.0,0.0,1.24,-13.063122444070242
La0.25021872 Zr0.21338912 Ti0.11994421 Mn0.05074366 Al0.00699912 V0.0656168 Cr0.0463692 Co0.04986877 Ni0.19685039,36.53,110.0,0.0,0.0,1.42,-13.054943468847727
